t,p,tf,noise_percentage
5,12,0,50
0,1,0,50
4,4,1,50
7,4,0,50
6,4,0,50
6,12,0,50
8,4,0,50
8,4,0,50
0,1,0,50
9,1,0,50
10,4,0,50
3,1,0,50
2,9,0,50
9,9,1,50
14,12,0,50
0,1,0,50
9,1,0,50
8,4,0,50
14,14,1,50
7,4,0,50
10,4,0,50
6,12,0,50
0,1,0,50
3,1,0,50
2,9,0,50
0,4,0,50
6,12,0,50
12,12,1,50
4,1,0,50
0,9,0,50
12,12,1,50
8,4,0,50
2,9,0,50
10,1,0,50
0,1,0,50
14,1,0,50
10,1,0,50
1,1,1,50
2,9,0,50
2,12,0,50
8,4,0,50
4,4,1,50
13,4,0,50
2,9,0,50
3,12,0,50
0,1,0,50
0,0,1,50
9,1,0,50
9,12,0,50
1,4,0,50
6,12,0,50
6,12,0,50
7,12,0,50
10,1,0,50
13,4,0,50
13,0,0,50
0,0,1,50
1,1,1,50
4,4,1,50
5,1,0,50
8,4,0,50
2,9,0,50
14,4,0,50
11,4,0,50
14,1,0,50
10,9,0,50
6,12,0,50
4,4,1,50
9,1,0,50
0,1,0,50
9,12,0,50
13,4,0,50
9,1,0,50
13,12,0,50
1,4,0,50
13,4,0,50
6,12,0,50
11,11,1,50
0,1,0,50
13,12,0,50
0,1,0,50
12,12,1,50
8,4,0,50
5,12,0,50
7,12,0,50
5,1,0,50
12,12,1,50
9,1,0,50
11,11,1,50
11,4,0,50
7,4,0,50
6,4,0,50
8,4,0,50
8,4,0,50
0,4,0,50
3,1,0,50
5,12,0,50
7,4,0,50
3,1,0,50
7,4,0,50
0,1,0,50
14,1,0,50
3,1,0,50
12,12,1,50
12,12,1,50
1,1,1,50
0,4,0,50
10,4,0,50
13,4,0,50
12,12,1,50
3,1,0,50
0,1,0,50
10,4,0,50
2,12,0,50
2,4,0,50
2,4,0,50
1,1,1,50
2,9,0,50
4,4,1,50
3,9,0,50
8,4,0,50
8,4,0,50
7,4,0,50
4,4,1,50
14,1,0,50
7,4,0,50
14,1,0,50
11,12,0,50
2,4,0,50
0,1,0,50
3,12,0,50
2,9,0,50
4,4,1,50
13,12,0,50
13,4,0,50
1,1,1,50
6,4,0,50
12,12,1,50
8,4,0,50
11,4,0,50
1,1,1,50
12,12,1,50
1,4,0,50
3,4,0,50
8,4,0,50
8,4,0,50
8,4,0,50
10,4,0,50
8,4,0,50
13,4,0,50
13,1,0,50
3,12,0,50
2,9,0,50
13,4,0,50
0,4,0,50
8,4,0,50
2,9,0,50
8,4,0,50
12,12,1,50
11,12,0,50
14,1,0,50
4,4,1,50
5,12,0,50
14,1,0,50
7,12,0,50
14,1,0,50
7,4,0,50
11,8,0,50
10,1,0,50
13,12,0,50
12,12,1,50
0,1,0,50
2,4,0,50
11,4,0,50
14,1,0,50
1,1,1,50
3,12,0,50
9,4,0,50
5,12,0,50
3,12,0,50
4,4,1,50
2,9,0,50
3,9,0,50
2,9,0,50
7,4,0,50
1,1,1,50
12,12,1,50
0,4,0,50
6,12,0,50
6,12,0,50
1,1,1,50
10,1,0,50
0,4,0,50
14,1,0,50
5,12,0,50
13,12,0,50
8,4,0,50
5,1,0,50
7,12,0,50
13,12,0,50
