t,p,tf,noise_percentage
12,12,1,70
11,4,0,70
11,4,0,70
5,4,0,70
12,4,0,70
9,4,0,70
7,4,0,70
0,12,0,70
11,11,1,70
7,4,0,70
10,12,0,70
0,1,0,70
0,4,0,70
2,9,0,70
10,4,0,70
13,12,0,70
11,12,0,70
1,4,0,70
9,1,0,70
4,4,1,70
5,4,0,70
3,1,0,70
12,12,1,70
2,9,0,70
14,1,0,70
7,4,0,70
6,4,0,70
13,12,0,70
9,4,0,70
7,4,0,70
13,12,0,70
5,4,0,70
3,1,0,70
9,4,0,70
0,1,0,70
13,4,0,70
5,12,0,70
2,4,0,70
1,4,0,70
9,1,0,70
0,1,0,70
7,4,0,70
9,12,0,70
8,4,0,70
9,4,0,70
14,1,0,70
13,4,0,70
2,12,0,70
13,4,0,70
10,4,0,70
14,1,0,70
1,4,0,70
12,4,0,70
3,1,0,70
8,4,0,70
8,1,0,70
13,12,0,70
14,4,0,70
6,9,0,70
2,9,0,70
10,4,0,70
5,4,0,70
3,1,0,70
0,1,0,70
7,4,0,70
2,12,0,70
7,4,0,70
10,4,0,70
14,12,0,70
9,1,0,70
4,4,1,70
11,4,0,70
3,4,0,70
8,4,0,70
8,4,0,70
14,4,0,70
4,12,0,70
13,12,0,70
0,1,0,70
0,4,0,70
6,4,0,70
0,1,0,70
12,12,1,70
3,1,0,70
4,4,1,70
11,4,0,70
12,12,1,70
13,12,0,70
12,12,1,70
6,4,0,70
14,1,0,70
5,4,0,70
9,4,0,70
14,4,0,70
6,12,0,70
11,4,0,70
8,4,0,70
9,12,0,70
1,4,0,70
0,1,0,70
11,12,0,70
3,4,0,70
14,4,0,70
0,1,0,70
12,12,1,70
2,12,0,70
7,4,0,70
3,4,0,70
8,4,0,70
9,4,0,70
13,12,0,70
7,4,0,70
13,4,0,70
7,4,0,70
12,4,0,70
4,4,1,70
4,4,1,70
5,12,0,70
14,4,0,70
8,4,0,70
11,12,0,70
14,12,0,70
3,1,0,70
12,4,0,70
6,11,0,70
4,4,1,70
14,12,0,70
8,4,0,70
9,1,0,70
10,4,0,70
10,12,0,70
14,4,0,70
2,4,0,70
3,4,0,70
13,4,0,70
3,12,0,70
13,12,0,70
10,4,0,70
13,12,0,70
12,12,1,70
0,1,0,70
7,4,0,70
10,9,0,70
2,12,0,70
9,4,0,70
14,1,0,70
13,12,0,70
12,12,1,70
0,1,0,70
4,4,1,70
10,4,0,70
14,12,0,70
5,4,0,70
12,4,0,70
2,4,0,70
12,12,1,70
11,12,0,70
12,12,1,70
10,4,0,70
12,12,1,70
13,4,0,70
4,4,1,70
6,4,0,70
12,12,1,70
14,1,0,70
5,4,0,70
8,4,0,70
8,4,0,70
13,4,0,70
8,4,0,70
13,4,0,70
1,4,0,70
10,4,0,70
11,4,0,70
9,4,0,70
12,4,0,70
13,4,0,70
9,1,0,70
2,4,0,70
13,4,0,70
14,4,0,70
0,1,0,70
3,12,0,70
10,4,0,70
0,4,0,70
14,4,0,70
3,1,0,70
10,4,0,70
4,4,1,70
11,4,0,70
7,12,0,70
4,4,1,70
5,12,0,70
2,4,0,70
14,1,0,70
6,1,0,70
5,12,0,70
